name,url,image_url
Mrs. Siggard (TV Series),https://walkingdead.fandom.com/wiki/Mrs._Siggard_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/c/c3/MrsSiggardS1Crop.png/revision/latest/scale-to-width-down/116?cb=20221019225140
Paula (Season 2),https://walkingdead.fandom.com/wiki/Paula_(Season_2),https://static.wikia.nocookie.net/walkingdead/images/c/c3/PaulaS2Crop.png/revision/latest/scale-to-width-down/116?cb=20221019225145
Paula (Season 2),https://walkingdead.fandom.com/wiki/Paula_(Season_2),https://static.wikia.nocookie.net/walkingdead/images/c/c3/PaulaS2Crop.png/revision/latest/scale-to-width-down/116?cb=20221019225145
Hannah (Webisodes),https://walkingdead.fandom.com/wiki/Hannah_(Webisodes),https://static.wikia.nocookie.net/walkingdead/images/2/24/Bantvhan.png/revision/latest/scale-to-width-down/116?cb=20120821232538
Hannah (Webisodes),https://walkingdead.fandom.com/wiki/Hannah_(Webisodes),https://static.wikia.nocookie.net/walkingdead/images/2/24/Bantvhan.png/revision/latest/scale-to-width-down/116?cb=20120821232538
Glenn Rhee (TV Series),https://walkingdead.fandom.com/wiki/Glenn_Rhee_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/9/95/GlennS7Crop.png/revision/latest/scale-to-width-down/116?cb=20230328011038
Glenn Rhee (TV Series),https://walkingdead.fandom.com/wiki/Glenn_Rhee_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/9/95/GlennS7Crop.png/revision/latest/scale-to-width-down/116?cb=20230328011038
Theodore Douglas (TV Series),https://walkingdead.fandom.com/wiki/Theodore_Douglas_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/e/e5/TDogS3Crop.png/revision/latest/scale-to-width-down/116?cb=20221019225211
Theodore Douglas (TV Series),https://walkingdead.fandom.com/wiki/Theodore_Douglas_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/e/e5/TDogS3Crop.png/revision/latest/scale-to-width-down/116?cb=20221019225211
Dale Horvath (TV Series),https://walkingdead.fandom.com/wiki/Dale_Horvath_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/f/f3/DaleS2Crop.png/revision/latest/scale-to-width-down/116?cb=20221019225035
Dale Horvath (TV Series),https://walkingdead.fandom.com/wiki/Dale_Horvath_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/f/f3/DaleS2Crop.png/revision/latest/scale-to-width-down/116?cb=20221019225035
Jacqui (TV Series),https://walkingdead.fandom.com/wiki/Jacqui_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/a/a6/JacquiS1Crop.png/revision/latest/scale-to-width-down/116?cb=20221019225058
Jacqui (TV Series),https://walkingdead.fandom.com/wiki/Jacqui_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/a/a6/JacquiS1Crop.png/revision/latest/scale-to-width-down/116?cb=20221019225058
Jim (TV Series),https://walkingdead.fandom.com/wiki/Jim_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/b/b1/JimS1Crop.png/revision/latest/scale-to-width-down/116?cb=20221019225106
Jim (TV Series),https://walkingdead.fandom.com/wiki/Jim_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/b/b1/JimS1Crop.png/revision/latest/scale-to-width-down/116?cb=20221019225106
Carol Peletier (TV Universe),https://walkingdead.fandom.com/wiki/Carol_Peletier_(TV_Universe),https://static.wikia.nocookie.net/walkingdead/images/7/75/CarolS11Crop.png/revision/latest/scale-to-width-down/116?cb=20221123055252
Carol Peletier (TV Universe),https://walkingdead.fandom.com/wiki/Carol_Peletier_(TV_Universe),https://static.wikia.nocookie.net/walkingdead/images/7/75/CarolS11Crop.png/revision/latest/scale-to-width-down/116?cb=20221123055252
Sophia Peletier (TV Series),https://walkingdead.fandom.com/wiki/Sophia_Peletier_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/3/38/SophiaS2Crop.png/revision/latest/scale-to-width-down/116?cb=20221019225206
Sophia Peletier (TV Series),https://walkingdead.fandom.com/wiki/Sophia_Peletier_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/3/38/SophiaS2Crop.png/revision/latest/scale-to-width-down/116?cb=20221019225206
Ed Peletier (TV Series),https://walkingdead.fandom.com/wiki/Ed_Peletier_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/3/3e/EdS1Crop.png/revision/latest/scale-to-width-down/116?cb=20221019225049
Ed Peletier (TV Series),https://walkingdead.fandom.com/wiki/Ed_Peletier_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/3/3e/EdS1Crop.png/revision/latest/scale-to-width-down/116?cb=20221019225049
